Year,1,2,3,4,5,6
1983,1.168,0.643,0.234,0.2,0.2,0.2
1984,1.157,0.646,0.236,0.2,0.2,0.2
1985,1.143,0.65,0.238,0.2,0.2,0.2
1986,1.127,0.653,0.24,0.2,0.2,0.2
1987,1.111,0.657,0.242,0.2,0.2,0.2
1988,1.095,0.663,0.244,0.2,0.2,0.2
1989,1.082,0.67,0.246,0.2,0.2,0.2
1990,1.07,0.677,0.247,0.2,0.2,0.2
1991,1.061,0.685,0.249,0.2,0.2,0.2
1992,1.054,0.693,0.251,0.2,0.2,0.2
1993,1.048,0.7,0.255,0.2,0.2,0.2
1994,1.045,0.708,0.259,0.2,0.2,0.2
1995,1.042,0.717,0.265,0.2,0.2,0.2
1996,1.04,0.728,0.274,0.2,0.2,0.2
1997,1.037,0.74,0.284,0.2,0.2,0.2
1998,1.035,0.755,0.295,0.2,0.2,0.2
1999,1.033,0.771,0.308,0.2,0.2,0.2
2000,1.033,0.79,0.322,0.2,0.2,0.2
2001,1.038,0.811,0.335,0.2,0.2,0.2
2002,1.047,0.834,0.348,0.2,0.2,0.2
2003,1.061,0.857,0.359,0.2,0.2,0.2
2004,1.077,0.88,0.366,0.2,0.2,0.2
2005,1.094,0.899,0.369,0.2,0.2,0.2
2006,1.11,0.914,0.368,0.2,0.2,0.2
2007,1.125,0.924,0.363,0.2,0.2,0.2
2008,1.139,0.929,0.356,0.2,0.2,0.2
2009,1.151,0.929,0.348,0.2,0.2,0.2
2010,1.163,0.927,0.34,0.2,0.2,0.2
2011,1.177,0.923,0.333,0.2,0.2,0.2
2012,1.193,0.918,0.327,0.2,0.2,0.2
2013,1.212,0.912,0.324,0.2,0.2,0.2
2014,1.233,0.907,0.321,0.2,0.2,0.2
2015,1.256,0.902,0.32,0.2,0.2,0.2
2016,1.28,0.897,0.32,0.2,0.2,0.2
2017,1.28,0.897,0.32,0.2,0.2,0.2
2018,1.28,0.897,0.32,0.2,0.2,0.2
